Test Description,Size,Method,Iteration,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,10,15917.0,12755.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,1,55292.0,42126.0,65471.14978027344,58305.73043060303,10624.103607177734,26276
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,2,61836.0,46652.0,65471.14978027344,58305.686614990234,10624.103607177734,26276
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,3,54915.0,41792.0,65471.14978027344,58305.749114990234,10624.103607177734,26276
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,4,61588.0,46162.0,65471.14978027344,58303.07344055176,10623.50171661377,26270
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,5,55103.0,41889.0,65471.14978027344,58305.74668884277,10624.103607177734,26276
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,6,61866.0,46607.0,65471.14978027344,58305.78491973877,10624.103607177734,26276
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,7,55067.0,41859.0,65471.14978027344,58303.023750305176,10623.50171661377,26270
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,8,62890.0,47484.0,65471.14978027344,58305.74080657959,10624.103607177734,26276
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,9,55169.0,41967.0,65471.14978027344,58305.79396820068,10624.103607177734,26276
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,10,62225.0,45863.0,65471.14978027344,58305.745513916016,10624.103607177734,26276
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,1,56225.0,42351.0,67008.6499786377,59810.23799133301,10455.525184631348,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,2,64659.00000000001,48457.0,67008.6499786377,59810.22212219238,10455.525184631348,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,3,56412.0,42533.0,67008.6499786377,59810.26699066162,10455.525184631348,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,4,64968.99999999999,48490.0,67008.6499786377,59810.24073791504,10455.525184631348,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,5,56239.0,42423.0,67008.6499786377,59810.266342163086,10455.525184631348,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,6,65205.0,49050.0,67008.6499786377,59810.19666290283,10455.525184631348,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,7,56115.0,42296.0,67008.6499786377,59810.26126098633,10455.525184631348,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,8,63367.0,48934.0,67008.6499786377,59810.276779174805,10455.525184631348,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,9,62801.0,46188.0,67008.6499786377,59810.56044769287,10455.525184631348,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,10,58222.0,44187.0,67008.6499786377,59810.21072387695,10455.525184631348,25460
DPS interface for compact regions/map on List,2^10,mapL.force,1,2.0,0.0,0.27030181884765625,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/map on List,2^10,mapL.force,2,2.0,0.0,0.27030181884765625,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/map on List,2^10,mapL.force,3,2.0,0.0,0.27030181884765625,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/map on List,2^10,mapL.force,4,2.0,0.0,0.27030181884765625,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/map on List,2^10,mapL.force,5,3.0,0.0,0.27030181884765625,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/map on List,2^10,mapL.force,6,2.0,0.0,0.27030181884765625,0.00350189208984375,0.034820556640625,6
